Language	Stars	GitHub Link
knox	106	https://github.com/AZHenley/knox
CoderBooks	106	https://github.com/iGaoWei/CoderBooks
tmg	106	https://github.com/amakukha/tmg
q	105	https://github.com/akyoto/q
rfcs	104	https://github.com/luau-lang/rfcs
skov	104	https://github.com/nicolas-p/skov
numscript	102	https://github.com/formancehq/numscript
fp	102	https://github.com/japiirainen/fp
Tidal	101	https://github.com/Tidal-Lang/Tidal
Akilang	101	https://github.com/syegulalp/Akilang
telegram	101	https://github.com/NewHR/telegram
compiler	101	https://github.com/ren-lang/compiler
birb	101	https://github.com/marvinborner/birb
orca	100	https://github.com/itsyourbedtime/orca
mGo4th	100	https://github.com/mactsouk/mGo4th
voile-rs	100	https://github.com/owo-lang/voile-rs
Electra-Lang	100	https://github.com/DolphyWind/Electra-Lang
charly-vm	100	https://github.com/KCreate/charly-vm
mathmap	100	https://github.com/schani/mathmap
fir	99	https://github.com/fir-lang/fir
Noja	98	https://github.com/cozis/Noja
rpp	98	https://github.com/daniel-shimon/rpp
TinyAPL	98	https://github.com/RubenVerg/TinyAPL
lets-go	98	https://github.com/ntk148v/lets-go
brat	97	https://github.com/presidentbeef/brat
ClojureWasm	97	https://github.com/clojurewasm/ClojureWasm
Hexa	96	https://github.com/hexalang/Hexa
cicada-plct	96	https://github.com/cicada-lang/cicada-plct
Headache	96	https://github.com/LucasMW/Headache
Jazz	95	https://github.com/jazz-lang/Jazz
rill	95	https://github.com/yutopp/rill
silver	95	https://github.com/viperproject/silver
vedic-lang.github.io	94	https://github.com/vedic-lang/vedic-lang.github.io
HackerRank	94	https://github.com/MrinmoiHossain/HackerRank
plato	93	https://github.com/cdiggins/plato
battlestar	93	https://github.com/xyproto/battlestar
Dachs	91	https://github.com/rhysd/Dachs
uno	91	https://github.com/fuse-open/uno
thingtalk	91	https://github.com/stanford-oval/thingtalk
aether	91	https://github.com/aether-lang-org/aether
BCause	91	https://github.com/Spydr06/BCause
cex	91	https://github.com/alexveden/cex
progex	90	https://github.com/ghaffarian/progex
v0.83	90	https://github.com/miniBloq/v0.83
vanilla-lang	90	https://github.com/zehaochen19/vanilla-lang
CSpydr	90	https://github.com/Spydr06/CSpydr
categorized-websites	88	https://github.com/alidehkhodaei/categorized-websites
zkay	88	https://github.com/eth-sri/zkay
aceto	88	https://github.com/aceto/aceto
keisan	87	https://github.com/project-eutopia/keisan
jactl	87	https://github.com/jaccomoc/jactl
aixt	87	https://github.com/fermarsan/aixt
ordo	86	https://github.com/FrankBro/ordo
pyswahili	86	https://github.com/Kalebu/pyswahili
wado	85	https://github.com/wado-lang/wado
csstuff	85	https://github.com/Spacial/csstuff
terlang	84	https://github.com/terroo/terlang
bullseye	84	https://github.com/thosakwe/bullseye
awesome-aha	84	https://github.com/jondot/awesome-aha
spice	84	https://github.com/spicelang/spice
plush	84	https://github.com/maximecb/plush
egel	84	https://github.com/egel-lang/egel
YuLang	83	https://github.com/MaxXSoft/YuLang
CSharp8CheatSheet	83	https://github.com/alugili/CSharp8CheatSheet
iolang	83	https://github.com/zephyrtronium/iolang
facet	82	https://github.com/facet-lang/facet
Programming_In_Java_NPTEL	82	https://github.com/bkkothari2255/Programming_In_Java_NPTEL
deeplang	82	https://github.com/deeplang-org/deeplang
sona.js	82	https://github.com/dmadisetti/sona.js
goto	81	https://github.com/pandeykartikey/goto
sacalon	81	https://github.com/sacalon/sacalon
cli	81	https://github.com/offline-ai/cli
Lox2	80	https://github.com/HallofFamer/Lox2
narc-rs	80	https://github.com/owo-lang/narc-rs
soppo	80	https://github.com/halcyonnouveau/soppo
lambda-zero	79	https://github.com/clark800/lambda-zero
Lama	79	https://github.com/PLTools/Lama
dyalect	79	https://github.com/vorov2/dyalect
mach	79	https://github.com/octalide/mach
xylo	79	https://github.com/giraffekey/xylo
pivot-lang	79	https://github.com/Pivot-Studio/pivot-lang
lamina	78	https://github.com/SkuldNorniern/lamina
fif	78	https://github.com/benzap/fif
Amun	78	https://github.com/AmrDeveloper/Amun
Tachyon	78	https://github.com/ryanmaugv1/Tachyon
Smart-Intermediate-Representation	77	https://github.com/AntChainOpenLabs/Smart-Intermediate-Representation
CricLang	77	https://github.com/manthanguptaa/CricLang
polyglot-euler	76	https://github.com/FrankKair/polyglot-euler
japt	76	https://github.com/ETHproductions/japt
compiler	76	https://github.com/callisto-lang/compiler
BatchASM	75	https://github.com/DosX-dev/BatchASM
TREPL	75	https://github.com/TomaszRewak/TREPL
parallelprogrammingbook	74	https://github.com/JGU-HPC/parallelprogrammingbook
bf	74	https://github.com/sno2/bf
neon-lang	73	https://github.com/ghewgill/neon-lang
colang	73	https://github.com/rsms/colang
citron	73	https://github.com/alimpfard/citron
adana	73	https://github.com/nbittich/adana
diatom	72	https://github.com/diatom-lang/diatom
heresy	72	https://github.com/jarcane/heresy
ghuloum	72	https://github.com/tekknolagi/ghuloum
mewmew	71	https://github.com/bauripalash/mewmew
microlisp	71	https://github.com/lazear/microlisp
chimera	71	https://github.com/xieyuheng/chimera
Niva	71	https://github.com/gavr123456789/Niva
BIPLAN	70	https://github.com/gioblu/BIPLAN
MemeAssembly	70	https://github.com/kammt/MemeAssembly
cotton	70	https://github.com/nanikamado/cotton
bau-lang	70	https://github.com/thomasmueller/bau-lang
wotpp	70	https://github.com/wotpp/wotpp
rlci	69	https://github.com/orsinium-labs/rlci
soma	69	https://github.com/SrGaabriel/soma
primordialsoup	69	https://github.com/rmacnak/primordialsoup
Nasal-Interpreter	69	https://github.com/ValKmjolnir/Nasal-Interpreter
TinyLean	68	https://github.com/anqur/TinyLean
friends-lang	67	https://github.com/vain0x/friends-lang
brunost	67	https://github.com/atomfinger/brunost
landscape-of-programming	67	https://github.com/songtianyi/landscape-of-programming
Baji-Marathi-Programing-Language	67	https://github.com/joey00072/Baji-Marathi-Programing-Language
ppap-lang	66	https://github.com/yhara/ppap-lang
lua-beginners-guide	66	https://github.com/gridlocdev/lua-beginners-guide
Laythe	66	https://github.com/Laythe-lang/Laythe
MixT	65	https://github.com/mpmilano/MixT
adorad	65	https://github.com/adorad/adorad
Dyvil	64	https://github.com/Dyvil/Dyvil
aya	64	https://github.com/aya-lang/aya
birlscript	64	https://github.com/lazpeng/birlscript
lisp	64	https://github.com/0xekez/lisp
Cpp-DSA-Notes-and-Programs	64	https://github.com/maityamit/Cpp-DSA-Notes-and-Programs
rasp	64	https://github.com/yashbonde/rasp
kagsa	64	https://github.com/kagsa/kagsa
Alif	64	https://github.com/alifcommunity/Alif
ton-lang	64	https://github.com/felko/ton-lang
pd-l2ork	63	https://github.com/pd-l2ork/pd-l2ork
manool	63	https://github.com/rusini/manool
cnpl	63	https://github.com/Zhou-zhi-peng/cnpl
qore	63	https://github.com/qoretechnologies/qore
when-claudes-meet	63	https://github.com/anadim/when-claudes-meet
marie	63	https://github.com/lechatthecat/marie
Jasper	63	https://github.com/SebastianMestre/Jasper
keebox	63	https://github.com/andriksantos/keebox
EVO	63	https://github.com/dmcoles/EVO
zap	63	https://github.com/thezaplang/zap
tau	62	https://github.com/NicoNex/tau
language	62	https://github.com/dotlang/language
Entropy	62	https://github.com/rottytooth/Entropy
kirl-lang	62	https://github.com/White-Green/kirl-lang
MMD-MPL	62	https://github.com/AmyangXYZ/MMD-MPL
molten	62	https://github.com/transistorfet/molten
KiddieOS_Development	62	https://github.com/FrancisBFTC/KiddieOS_Development
plank	61	https://github.com/aripiprazole/plank
stas	61	https://github.com/l1mey112/stas
LambdaCore	61	https://github.com/Pebaz/LambdaCore
mimium-rs	61	https://github.com/mimium-org/mimium-rs
ForgedThoughts	61	https://github.com/markusmoenig/ForgedThoughts
functionalscript	61	https://github.com/functionalscript/functionalscript
magpie-language-design	61	https://github.com/haifenghuang/magpie-language-design
squire	61	https://github.com/sampersand/squire
fuzion	60	https://github.com/tokiwa-software/fuzion
luapp	60	https://github.com/luapp-org/luapp
zepto	60	https://github.com/zepto-lang/zepto
swahili	60	https://github.com/malcolmkiano/swahili
glow	60	https://github.com/Glow-Lang/glow
OwO	60	https://github.com/owo-lang/OwO
Zumbra-lang	59	https://github.com/JoseLucasapp/Zumbra-lang
fastinvsqrt	59	https://github.com/itchyny/fastinvsqrt
inet-js	59	https://github.com/xieyuheng/inet-js
Complete-Python-Mastery	59	https://github.com/Pankaj-Str/Complete-Python-Mastery
whack	59	https://github.com/onchere/whack
AVATAR	59	https://github.com/wasiahmad/AVATAR
scalu	58	https://github.com/ArgosOfIthaca/scalu
spectre	58	https://github.com/spectrelang/spectre
cora	58	https://github.com/tiancaiamao/cora
Pyxell	58	https://github.com/adamsol/Pyxell
LeetCode-Problem-Solving	58	https://github.com/Hazrat-Ali9/LeetCode-Problem-Solving
heron-language	58	https://github.com/cdiggins/heron-language
ikea-sharp	58	https://github.com/hugolgst/ikea-sharp
wollok	58	https://github.com/uqbar-project/wollok
Java-Advanced	58	https://github.com/janbodnar/Java-Advanced
Flux	58	https://github.com/kvthweatt/Flux
kula	58	https://github.com/kula-lang/kula
ein	57	https://github.com/17cupsofcoffee/ein
garden	57	https://github.com/Wilfred/garden
Argon	56	https://github.com/ArgonLang/Argon
caffeine-script	56	https://github.com/caffeine-suite/caffeine-script
libpicrin	56	https://github.com/picrin-scheme/libpicrin
til	56	https://github.com/til-lang/til
yodk	56	https://github.com/dbaumgarten/yodk
crust	56	https://github.com/almontasser/crust
dmr_c	56	https://github.com/dibyendumajumdar/dmr_c
typo	56	https://github.com/aliberro39109/typo
lovely	56	https://github.com/kiahjh/lovely
Nmet	56	https://github.com/mahanfr/Nmet
boba	56	https://github.com/glossopoeia/boba
Ola	56	https://github.com/mateeeeeee/Ola
masterproef	55	https://github.com/Dherse/masterproef
barn	55	https://github.com/barn-lang/barn
BashClass	55	https://github.com/amirbawab/BashClass
rust-farm	55	https://github.com/buraksenyurt/rust-farm
vein	55	https://github.com/vein-lang/vein
labyrinth	55	https://github.com/m-ender/labyrinth
mutant	54	https://github.com/gaurav-gogia/mutant
abra-lang	54	https://github.com/kengorab/abra-lang
kilnx	54	https://github.com/kilnx-org/kilnx
heartfuck	54	https://github.com/burgravian/heartfuck
logica-de-programacao	54	https://github.com/davidallysson/logica-de-programacao
bbcbasic-z80	54	https://github.com/jblang/bbcbasic-z80
funk	54	https://github.com/Ahnfelt/funk
CrochetPARADE	54	https://github.com/crochetparade/CrochetPARADE
adr	54	https://github.com/straw-hat-team/adr
garble-lang	53	https://github.com/sine-fdn/garble-lang
kolon	53	https://github.com/KhushPatibandha/kolon
wybe	53	https://github.com/pschachte/wybe
teascript	53	https://github.com/RevengerWizard/teascript
penne	53	https://github.com/SLiV9/penne
legesher-translations	53	https://github.com/legesher/legesher-translations
weld	53	https://github.com/StunxFS/weld
Flame	53	https://github.com/jonathanvdc/Flame
vala-www	53	https://github.com/vala-lang/vala-www
UniversalPython	53	https://github.com/UniversalPython/UniversalPython
lps.js	52	https://github.com/lps-js/lps.js
dither-lang	52	https://github.com/LingDong-/dither-lang
typy	52	https://github.com/cyrus-/typy
atlas77	52	https://github.com/atlas77-lang/atlas77
arduivis	52	https://github.com/cskonopka/arduivis
SBTCVM-Gen2-9	52	https://github.com/SBTCVM/SBTCVM-Gen2-9
crabby	52	https://github.com/crabby-lang/crabby
lfvm-stg	52	https://github.com/jfaure/lfvm-stg
core	51	https://github.com/core-lang/core
slox	51	https://github.com/alexito4/slox
VubbiScript	51	https://github.com/VubbiScript/VubbiScript
light	51	https://github.com/panda-lang/light
intellij-awk	51	https://github.com/xonixx/intellij-awk
compiler	51	https://github.com/cara-lang/compiler
promit	51	https://github.com/singul4ri7y/promit
dana	51	https://github.com/aitomatic/dana
MyDef	51	https://github.com/hzhou/MyDef
min	51	https://github.com/min-lang/min
sink	51	https://github.com/velipso/sink
LaWea	51	https://github.com/pelirodri/LaWea
wile	50	https://github.com/aalpar/wile
Bolt	50	https://github.com/boltlang/Bolt
MeowScript	50	https://github.com/AlenVelocity/MeowScript
Bite-Programming-Language	50	https://github.com/Maximilian-Winter/Bite-Programming-Language
Fratboi	50	https://github.com/VirenMohindra/Fratboi
rift	50	https://github.com/PipeRift/rift
leekscript-next	50	https://github.com/leek-wars/leekscript-next
gross	50	https://github.com/mshockwave/gross
Bracmat	49	https://github.com/BartJongejan/Bracmat
Code2Graph	48	https://github.com/Symbolk/Code2Graph
wlang	48	https://github.com/rsms/wlang
monkers	48	https://github.com/poteto/monkers
eisenscript	48	https://github.com/after12am/eisenscript
milone-lang	48	https://github.com/vain0x/milone-lang
blazex	48	https://github.com/Blazify/blazex
ace	48	https://github.com/wbbradley/ace
LangageLinotte	48	https://github.com/cpc6128/LangageLinotte
occult	48	https://github.com/occultlang/occult
terp	47	https://github.com/smpoulsen/terp
hhat_lang	47	https://github.com/hhat-lang/hhat_lang
neeilang	47	https://github.com/neeilan/neeilang
alice	47	https://github.com/m-ender/alice
b9	46	https://github.com/b9org/b9
Kara	46	https://github.com/kara-lang/Kara
semantic-analyzer-rs	46	https://github.com/mrLSD/semantic-analyzer-rs
malgo	46	https://github.com/takoeight0821/malgo
Web-Programming	46	https://github.com/Hazrat-Ali9/Web-Programming
specification	46	https://github.com/sCrypt-Inc/specification
m	46	https://github.com/mlang-dev/m
g2d	46	https://github.com/lucasepe/g2d
j2	46	https://github.com/jasonnyberg/j2
Brainfuck	46	https://github.com/shinbatsu/Brainfuck
Sharp	46	https://github.com/AndroDevcd/Sharp
snekky	45	https://github.com/snekkylang/snekky
A1	45	https://github.com/Adamnite/A1
ideabag2	45	https://github.com/mclintprojects/ideabag2
orc	45	https://github.com/orc-lang/orc
blacklight	45	https://github.com/acook/blacklight
playground	45	https://github.com/artichoke/playground
Krivine-Machine	45	https://github.com/techcentaur/Krivine-Machine
bash-script-templates	45	https://github.com/devopshobbies/bash-script-templates
kpd	44	https://github.com/felixangell/kpd
cicili	44	https://github.com/saman-pasha/cicili
quark-editor	44	https://github.com/Sheshank-s/quark-editor
chili	44	https://github.com/r0nsha/chili
roda	44	https://github.com/fergusq/roda
whistle	44	https://github.com/whistle-lang/whistle
corpus	44	https://github.com/wspace/corpus
polyquine	44	https://github.com/2KAbhishek/polyquine
papyrus-compiler	44	https://github.com/russo-2025/papyrus-compiler
nederlang	44	https://github.com/dannyvankooten/nederlang
lit	44	https://github.com/egordorichev/lit
aurora	44	https://github.com/aurora-pl/aurora
encore	44	https://github.com/parapluu/encore
leema	44	https://github.com/mdg/leema
nubasic	44	https://github.com/eantcal/nubasic
whitecat-ide	43	https://github.com/whitecatboard/whitecat-ide
RainLisp	43	https://github.com/chr1st0scli/RainLisp
Formality-Core	43	https://github.com/Soonad/Formality-Core
jingle	43	https://github.com/jingle-lang/jingle
the	43	https://github.com/thelang-io/the
xducs	43	https://github.com/silence-tang/xducs
CAIE_Code	43	https://github.com/iewnfod/CAIE_Code
argentum	43	https://github.com/karol11/argentum
Ruscall	43	https://github.com/elipmoc/Ruscall
RustScript2	43	https://github.com/mkhan45/RustScript2
ggnn.tensorflow	43	https://github.com/bdqnghi/ggnn.tensorflow
Object-Oriented-Programming	43	https://github.com/Hazrat-Ali9/Object-Oriented-Programming
Python-for-social-scientists	43	https://github.com/hejibo/Python-for-social-scientists
venice	43	https://github.com/jlangch/venice
nur	43	https://github.com/alkhizanah/nur
Zen	43	https://github.com/itssamuelrowe/Zen
baik-next	43	https://github.com/baik-lang/baik-next
asteroid	42	https://github.com/asteroid-lang/asteroid
huginn	42	https://github.com/AmokHuginnsson/huginn
Vix-lang	42	https://github.com/vixlang/Vix-lang
foolang	42	https://github.com/nikodemus/foolang
lunar	42	https://github.com/lunarlang/lunar
mlang	42	https://github.com/MQuy/mlang
qsel	42	https://github.com/dabacon/qsel
prowl	42	https://github.com/UberPyro/prowl
jupyterlab-python-docker-stack	42	https://github.com/b-data/jupyterlab-python-docker-stack
mozart-graal	42	https://github.com/eregon/mozart-graal
holymer	42	https://github.com/azur1s/holymer
tiny-systems-2023	41	https://github.com/tpetricek/tiny-systems-2023
Esolangs	41	https://github.com/dloscutoff/Esolangs
pyLesma	41	https://github.com/alinalihassan/pyLesma
aument	41	https://github.com/aument-lang/aument
libra	41	https://github.com/lucasdcampos/libra
HTVM	41	https://github.com/TheMaster1127/HTVM
Miksilo	41	https://github.com/keyboardDrummer/Miksilo
Snapp	40	https://github.com/adrian-hintze/Snapp
sric	40	https://github.com/sric-language/sric
aireamhan	40	https://github.com/neal-o-r/aireamhan
daisho	40	https://github.com/apaz-cli/daisho
jet	40	https://github.com/The-NextGen-Project/jet
Kaveh-Common-Lisp-Lessons	40	https://github.com/kaveh808/Kaveh-Common-Lisp-Lessons
language_performance_prime_algorithm	40	https://github.com/ali77gh/language_performance_prime_algorithm
Wave	40	https://github.com/wavefnd/Wave
mvs-calculus	40	https://github.com/kyouko-taiga/mvs-calculus
JSJS	40	https://github.com/prakhar1989/JSJS
write-a-programming-language	40	https://github.com/dannypsnl/write-a-programming-language
TaffyScript	40	https://github.com/mystborn/TaffyScript
samlang	40	https://github.com/SamChou19815/samlang
earl-lang	40	https://github.com/aflacake/earl-lang
algo-lang	40	https://github.com/omnimistic/algo-lang
The-Complete-Python-3-Course-Beginner-to-Advanced-Udemy-Course	40	https://github.com/MuizZer07/The-Complete-Python-3-Course-Beginner-to-Advanced-Udemy-Course
simpleparser	40	https://github.com/uliwitness/simpleparser
ShiTT	39	https://github.com/KonjacSource/ShiTT
okami	39	https://github.com/wolfgangj/okami
node-c-parser	39	https://github.com/taufique71/node-c-parser
kiwi	39	https://github.com/fuseraft/kiwi
DevOps-Engineering	39	https://github.com/Hazrat-Ali9/DevOps-Engineering
CadregaLisp	39	https://github.com/micheleriva/CadregaLisp
tox	39	https://github.com/Lapz/tox
horses	39	https://github.com/danieljharvey/horses
PHP-Programming	39	https://github.com/Hazrat-Ali9/PHP-Programming
otpcl	39	https://github.com/otpcl/otpcl
singlang	39	https://github.com/frizensami/singlang
cyx2	39	https://github.com/flylai/cyx2
lura	39	https://github.com/aripiprazole/lura
sharc	39	https://github.com/nh3dev/sharc
Tic-Tac	39	https://github.com/Sanix-Darker/Tic-Tac
bend-lang	39	https://github.com/geekyayush/bend-lang
mama-lang	39	https://github.com/ahnafyy/mama-lang
GreyMatter	39	https://github.com/Abineshabee/GreyMatter
HelloWorld	38	https://github.com/nguyenphuminh/HelloWorld
wipple	38	https://github.com/wipplelang/wipple
tiny-systems	38	https://github.com/tpetricek/tiny-systems
Yakou	38	https://github.com/CASC-Lang/Yakou
coollang-2020-fs	38	https://github.com/mykolav/coollang-2020-fs
linc	38	https://github.com/lincorg/linc
gotlang	38	https://github.com/chai2010/gotlang
dalbit-yaksok	38	https://github.com/rycont/dalbit-yaksok
progge.rs	38	https://github.com/skius/progge.rs
unilang	38	https://github.com/luxe/unilang
gopl-solutions	38	https://github.com/xingdl2007/gopl-solutions
Book-Catalog	38	https://github.com/Hazrat-Ali9/Book-Catalog
oberon-lang	38	https://github.com/zaskar9/oberon-lang
wirth-personal	38	https://github.com/Spirit-of-Oberon/wirth-personal
Song	37	https://github.com/dcutting/Song
LuaCSP	37	https://github.com/loyso/LuaCSP
lambda-mountain	37	https://github.com/Lambda-Mountain-Compiler-Backend/lambda-mountain
plorth	37	https://github.com/RauliL/plorth
maxc	37	https://github.com/k-mrm/maxc
hedgehog	37	https://github.com/yangtau/hedgehog
zeta-lang	37	https://github.com/Voxon-Development/zeta-lang
MinimalCC	37	https://github.com/been-jamming/MinimalCC
doolang	37	https://github.com/nynrathod/doolang
UNITN-linguaggi-programmazione-SML	37	https://github.com/Pater999/UNITN-linguaggi-programmazione-SML
binary-blitz-workshop	37	https://github.com/bhaxkar/binary-blitz-workshop
Insitux	37	https://github.com/phunanon/Insitux
nanohs	37	https://github.com/bkomuves/nanohs
All-in-One	37	https://github.com/CjE369/All-in-One
cobalt	36	https://github.com/Michael2109/cobalt
nitrate	36	https://github.com/Kracken256/nitrate
Interpreter	36	https://github.com/Rhovas/Interpreter
C-Programming-Tutorial-codeswithpankaj	36	https://github.com/Pankaj-Str/C-Programming-Tutorial-codeswithpankaj
pip	36	https://github.com/dloscutoff/pip
melon	36	https://github.com/daniele-rapagnani/melon
myBooks	36	https://github.com/MilenaCarecho/myBooks
thislang	36	https://github.com/BlueBlazin/thislang
Phitron-Project-in-C	36	https://github.com/Hazrat-Ali9/Phitron-Project-in-C
Swift-Programming	36	https://github.com/Hazrat-Ali9/Swift-Programming
HadesLang	36	https://github.com/Azer0s/HadesLang
FerroPhase	36	https://github.com/JakkuSakura/FerroPhase
naive	36	https://github.com/orodley/naive
Thesis-Paper	36	https://github.com/Hazrat-Ali9/Thesis-Paper
xpl	36	https://github.com/paladin-t/xpl
gram	36	https://github.com/gramlang/gram
go-examples	36	https://github.com/sagar-jadhav/go-examples
grimoire	36	https://github.com/Enalye/grimoire
Kotlin-Programming	36	https://github.com/Hazrat-Ali9/Kotlin-Programming
R-Programming	36	https://github.com/Hazrat-Ali9/R-Programming
mojo-is-awesome	36	https://github.com/mfranzon/mojo-is-awesome
queso	36	https://github.com/queso-lang/queso
Passant	36	https://github.com/VitamintK/Passant
Number-Guessing-Game	36	https://github.com/Hazrat-Ali9/Number-Guessing-Game
Java-Programming	36	https://github.com/Hazrat-Ali9/Java-Programming
Go-Programming	36	https://github.com/Hazrat-Ali9/Go-Programming
rush	35	https://github.com/rush-rs/rush
Turtle	35	https://github.com/AmrDeveloper/Turtle
pureli	35	https://github.com/soupi/pureli
CodeClinicR	35	https://github.com/mnr/CodeClinicR
plts	35	https://github.com/ayazhafiz/plts
moonlang	35	https://github.com/8dks/moonlang
aver	35	https://github.com/jasisz/aver
chaltteok	35	https://github.com/dragonteros/chaltteok
codeklavier	35	https://github.com/narcode/codeklavier
StoffelVM	35	https://github.com/Stoffel-Labs/StoffelVM
vilmos	35	https://github.com/Vinetwigs/vilmos
Bleach	35	https://github.com/vmmc2/Bleach
ByteSkript	35	https://github.com/Moderocky/ByteSkript
hefesto	35	https://github.com/rafael-santiago/hefesto
Programming-Resources-With-Bangla	35	https://github.com/Hazrat-Ali9/Programming-Resources-With-Bangla
cpl-docs	35	https://github.com/courses-at-nju-by-hfwei/cpl-docs
eiffel-guide	34	https://github.com/carlfriess/eiffel-guide
vile	34	https://github.com/sami2020pro/vile
moirai-kt	34	https://github.com/moirai-lang/moirai-kt
jupyterlab-r-docker-stack	34	https://github.com/b-data/jupyterlab-r-docker-stack
taolang	34	https://github.com/movsb/taolang
cygo	34	https://github.com/kitech/cygo
