language,year,wiki,github,website
scala,2004,https://en.wikipedia.org/wiki/Scala_(programming_language),https://github.com/scala/scala3,https://scala-lang.org
scheme,1975,https://en.wikipedia.org/wiki/MIT/GNU_Scheme,https://github.com/jaseemabid/mit-scheme,https://www.gnu.org/software/mit-scheme/
smalltalk,1972,https://en.wikipedia.org/wiki/GNU_Smalltalk,https://github.com/gnu-smalltalk/smalltalk,https://gnu.org/software/smalltalk/
swift,2014,https://en.wikipedia.org/wiki/Swift_(programming_language),https://github.com/swiftlang/swift,https://swift.org
teal,2019,https://teal-language.org,https://github.com/teal-language/tl,https://teal-language.org
typescript,2012,https://en.wikipedia.org/wiki/TypeScript,https://github.com/microsoft/TypeScript,https://www.typescriptlang.org
v,2019,https://en.wikipedia.org/wiki/V_(programming_language),https://github.com/vlang/v,https://vlang.io/
vala,2006,https://en.wikipedia.org/wiki/Vala_(programming_language),https://github.com/gnome/vala,https://gitlab.gnome.org/GNOME/vala
vbnet,2001,https://en.wikipedia.org/wiki/Visual_Basic_.NET,https://github.com/dotnet/vblang,https://docs.microsoft.com/en-us/dotnet/visual-basic/
xonsh,2015,https://xon.sh,https://github.com/xonsh/xonsh,http://xon.sh
wren,2013,https://wren.io,https://github.com/wren-lang/wren,http://wren.io
zig,2016,https://en.wikipedia.org/wiki/Zig_(programming_language),https://github.com/ziglang/zig,https://ziglang.org/news/migrating-from-github-to-codeberg/
zsh,1990,https://en.wikipedia.org/wiki/Z_shell,https://github.com/zsh-users/zsh,http://www.zsh.org
